City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
381,San Patricio,28.017,-97.5169,75.29,85,0,18.01,US
382,Qaqortoq,60.7167,-46.0333,19.15,82,100,7.52,GL
383,Pandan,14.0453,124.1694,83.01,76,70,9.06,PH
384,Bismarck,46.8083,-100.7837,24.64,83,0,10.36,US
385,Visby,57.6409,18.296,43.02,87,0,17.27,SE
386,Togur,58.3631,82.8265,18.14,96,90,4.7,RU
387,Bahia Blanca,-38.7196,-62.2724,62.82,73,0,5.01,AR
388,Vadodara,22.3,73.2,75.16,78,0,6.91,IN
389,Khandyga,62.6667,135.6,4.98,85,100,1.01,RU
390,Taclobo,12.3074,122.586,82.22,78,15,9.4,PH
391,Miles City,46.4083,-105.8406,45.57,45,0,5.75,US
392,Hithadhoo,-0.6,73.0833,81.36,74,99,4.97,MV
393,Thinadhoo,0.5333,72.9333,81.52,72,99,1.79,MV
394,Fortuna,40.5982,-124.1573,46.74,94,40,1.01,US
395,Clyde River,70.4692,-68.5914,-18.17,69,0,3.44,CA
396,Caravelas,-17.7125,-39.2481,76.06,78,0,5.53,BR
397,Manggar,-2.8833,108.2667,84.25,64,74,1.79,ID
398,Suoyarvi,62.0833,32.35,19.45,97,83,3.42,RU
399,Kualakapuas,-3.0091,114.3876,83.53,81,44,2.55,ID
400,Trinidad De Copan,14.95,-88.75,65.39,96,23,2.8,HN
401,San Isidro,-12.1167,-77.05,80.02,69,40,17.27,PE
402,Konskie,51.1917,20.4061,53.11,87,100,5.95,PL
403,Brawley,32.9787,-115.5303,68.61,36,0,25.32,US
